date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:33	477188/477188	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225f04adff-74804%22	http://cdn2.editmysite.com/js/site/main.js?buildTime=1594149302	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/js/site/main8cfa.js	(from https://jake11price1.weebly.com/)
10:29:34	93636/93636	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from https://jake11price1.weebly.com/)
10:29:34	3739/3739	---M--	404	error ('Not%20Found')	text/html	etag:%225f050766-e9b%22	https://jake11price1.weebly.com/%22/uploads/1/3/2/9/132958165/background-images/2134783539.jpg%22	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/jake11price1.weebly.com/_/uploads/1/3/2/9/132958165/background-images/2134783539.a.delayed	(from https://jake11price1.weebly.com/)
10:29:36	9677/9677	---M--	200	added ('OK')	image/png	etag:%226e0f7ad31bf187e0d88fc5787573ba71%22	http://cdn2.editmysite.com/images/site/footer/footer-toast-published-image-1.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/site/footer/footer-toast-published-image-1.png	(from https://jake11price1.weebly.com/)
10:29:36	3600/3600	---M-Z	200	added ('OK')	application/x-javascript	etag:%225f04adff-e10%22	http://cdn2.editmysite.com/js/site/footerSignup.js?buildTime=1594149302	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/js/site/footerSignup8cfa.js	(from https://jake11price1.weebly.com/)
10:29:38	67465/67465	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b8d85f1ea01d2c3e8b962eac8d76a5c%22	https://jake11price1.weebly.com/files/theme/plugins.js?1556911419	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/jake11price1.weebly.com/files/theme/plugins5213.js	(from https://jake11price1.weebly.com/)
10:29:41	3583/3583	---M--	200	added ('OK')	application/javascript	etag:%225b4646438d633556595e8756bf1f0e50%22	https://jake11price1.weebly.com/files/theme/jquery.pxuMenu.js?1556911419	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/jake11price1.weebly.com/files/theme/jquery.pxuMenu5213.js	(from https://jake11price1.weebly.com/)
10:29:43	3775/3775	---M--	200	added ('OK')	application/javascript	etag:%224beccebe0a060b2b2c43de5c2d4512ef%22	https://jake11price1.weebly.com/files/theme/jquery.trend.js?1556911419	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/jake11price1.weebly.com/files/theme/jquery.trend5213.js	(from https://jake11price1.weebly.com/)
10:29:43	2828/2828	---M--	200	added ('OK')	application/javascript	etag:%22c22ab67199a33d876512504cda4ff55b%22	https://jake11price1.weebly.com/files/theme/jquery.revealer.js?1556911419	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/jake11price1.weebly.com/files/theme/jquery.revealer5213.js	(from https://jake11price1.weebly.com/)
10:29:43	634/634	---M--	200	added ('OK')	application/javascript	etag:%22e33bebf8099afdfb9bbf5b507ad3ebc0%22	https://jake11price1.weebly.com/files/theme/debounce.js?1556911419	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/jake11price1.weebly.com/files/theme/debounce5213.js	(from https://jake11price1.weebly.com/)
10:29:45	20346/20346	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ce038724a40ec81eb18052a42ac3a14%22	https://jake11price1.weebly.com/files/theme/custom.js?1556911419	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/jake11price1.weebly.com/files/theme/custom5213.js	(from https://jake11price1.weebly.com/)
10:29:48	75006/75006	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225f050767-124fe%22	http://cdn2.editmysite.com/js/wsnbn/snowday262.js	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/js/wsnbn/snowday262.js	(from https://jake11price1.weebly.com/)
10:29:50	3316/3316	---M--	200	added ('OK')	image/png	etag:%22b990be86efb765402df96de07ff676ed%22	http://cdn2.editmysite.com/images/util/videojs/white-bar.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/white-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:50	934/934	---M--	200	added ('OK')	image/png	etag:%22b7bb9f86cd372171ddb601013f7b7ecc%22	http://cdn2.editmysite.com/images/util/videojs/@2x/white-bar.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/@2x/white-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:51	1062/1062	---M--	200	added ('OK')	image/png	etag:%22e3a4510b856d2e6af899829f916aed5c%22	http://cdn2.editmysite.com/images/util/videojs/gradient.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/gradient.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:53	1066/1066	---M--	200	added ('OK')	image/png	etag:%225f79d3a4fcbd47a8915f4b76d8d391f2%22	http://cdn2.editmysite.com/images/util/videojs/@2x/gradient.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/@2x/gradient.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:54	525945/525945	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225f04adff-80679%22	http://cdn2.editmysite.com/js/site/main-customer-accounts-site.js?buildTime=1594149302	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/js/site/main-customer-accounts-site8cfa.js	(from https://jake11price1.weebly.com/)
10:29:55	1147/1147	---M--	200	added ('OK')	image/png	etag:%22238628d5193eed29afba56881c2062b6%22	http://cdn2.editmysite.com/images/util/videojs/volume-filled.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/volume-filled.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:55	10847/10847	---M--	200	added ('OK')	image/png	etag:%225efd329b-2a5f%22	http://cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:56	1333/1333	---M--	200	added ('OK')	image/png	etag:%2294ad4962ec7aae96fd39acf13b05c5ff%22	http://cdn2.editmysite.com/images/util/videojs/@2x/volume-filled.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/@2x/volume-filled.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:56	1179/1179	---M--	200	added ('OK')	image/png	etag:%225baf4223095c9cbd9975106f31b0885f%22	http://cdn2.editmysite.com/images/util/videojs/volume-mute.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/volume-mute.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:56	25072/25072	---M--	200	added ('OK')	image/png	etag:%225f050767-61f0%22	http://cdn2.editmysite.com/sprites/util/videojs/@2x-s2aff7e7d9a.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/sprites/util/videojs/@2x-s2aff7e7d9a.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:29:57	1303/1303	---M--	200	added ('OK')	image/png	etag:%2202ddb113f1cb06b58d6b9bbfcc0f9da1%22	http://cdn2.editmysite.com/images/util/videojs/@2x/volume-mute.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/@2x/volume-mute.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
10:30:03	3318/3318	---M--	200	added ('OK')	image/png	etag:%22cada038924133711192a57d0631ad1d6%22	http://cdn2.editmysite.com/images/util/videojs/blue-bar.png	C:/Users/User/Desktop/Website%20Html/My%20Website%20Html/cdn2.editmysite.com/images/util/videojs/blue-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1594149302)
